Site,Disinfection_Type,Pathogen,length,breadth_inf,breadth_eff,breadth_minCov_inf,breadth_minCov_eff,coverage_inf,coverage_eff,Nucl_Diversity_Pi_inf,Nucl_Diversity_Pi_eff,SNV_count_inf,SNV_count_eff,SNVs_Density_inf,SNVs_Density_eff,Delta_Breadth,Delta_MinCov,Delta_Coverage,Delta_Pi,Delta_SNV_Density,Group,Influent,Effluent,LRV,Site_ordered,Pathogen_key,Result_type,LRV_point_new,LRV_lower,LRV_upper,Influent_reads,Effluent_reads,Influent_status,Effluent_status,LRV_original,Point_LRV_difference,LRV_status,Model_eligibility,LRV_model
WFSW_UV,UV,Achromobacter_xylosoxidans,6901970,0.007487138,0.011494979,4.74792e-4,0.002634465,0.013925444,0.034312377,0.005181998,0.008373493,21,207,0.406378203,2.609090222,-0.004007841,-0.002159673,-0.020386933,0.003191495,2.202712019,UV,930137.7137,1671893.094,-0.2546613,WFSW_UV,Achromobacter xylosoxidans,Point estimate,-0.254661249955602,-0.254661249955602,-0.254661249955602,7956,21223,Quantifiable,Quantifiable,-0.2546613,5.004439795897042e-8,Point estimate,Eligible_main_model,-0.254661249955602
SZSG_UV,UV,Achromobacter_xylosoxidans,6901970,0.007879345,0.006581454,3.63375e-4,3.59607e-4,0.014290703,0.012485711,0.008637743,0.014072442,23,43,0.422926282,0.9466153,0.00129789,3.76704e-6,0.001804992,0.005434699,0.523689018,UV,2536576.239,993819.635,0.406940347,SZSG_UV,Achromobacter xylosoxidans,Point estimate,0.406940347092864,0.406940347092864,0.406940347092864,8039,7494,Quantifiable,Quantifiable,0.406940347,9.286399427210767e-11,Point estimate,Eligible_main_model,0.406940347092864
SZSG_UV_Cl,UV_Cl,Achromobacter_xylosoxidans,6901970,0.004840212,0.010461796,4.09883e-4,2.76733e-5,0.009131161,0.011832274,9.88876e-4,0,2,0,0.059867692,0,-0.005621583,3.8221e-4,-0.002701113,-9.88876e-4,-0.059867692,UV_Cl,262001.9324,265100.9058,-0.0051067,SZSG_UV_Cl,Achromobacter xylosoxidans,Point estimate,-0.00510671703628393,-0.00510671703628393,-0.00510671703628393,4543,3152,Quantifiable,Quantifiable,-0.0051067,-1.7036283930446653e-8,Point estimate,Eligible_main_model,-0.00510671703628393
SZBH_UV_Cl,UV_Cl,Achromobacter_xylosoxidans,6901970,0.013324312,0.00533297,0.005719526,0.001343674,0.07947586,0.019726542,0.008804743,0.005617701,563,82,6.121960767,2.22777657,0.007991342,0.004375852,0.059749318,-0.003187042,-3.894184197,UV_Cl,6212033.814,2279519.842,0.435390434,SZBH_UV_Cl,Achromobacter xylosoxidans,Point estimate,0.435390434281246,0.435390434281246,0.435390434281246,25912,31937,Quantifiable,Quantifiable,0.435390434,2.812460264678407e-10,Point estimate,Eligible_main_model,0.435390434281246
JXQ_O3,O3,Achromobacter_xylosoxidans,6901970,0.009014238,0.008410208,0.002764428,0.002185898,0.034591863,0.028060829,0.007487004,0.006710884,217,146,3.487848785,2.515203197,6.0403e-4,5.7853e-4,0.006531034,-7.7612e-4,-0.972645587,O3,9169924.148,3347481.456,0.437647563,JXQ_O3,Achromobacter xylosoxidans,Point estimate,0.43764756342923,0.43764756342923,0.43764756342923,13141,10848,Quantifiable,Quantifiable,0.437647563,4.2922998488847947e-10,Point estimate,Eligible_main_model,0.43764756342923
JXQ_Cl,Cl,Achromobacter_xylosoxidans,6901970,0.004680113,0.005120132,8.38891e-5,8.46135e-5,0.007461058,0.007891225,0,0.010030441,0,10,0,0.282973485,-4.40019e-4,-7.24431e-7,-4.30167e-4,0.010030441,0.282973485,Cl,1175368.977,915548.5536,0.108492843,JXQ_Cl,Achromobacter xylosoxidans,Point estimate,0.108492842608694,0.108492842608694,0.108492842608694,6010,6744,Quantifiable,Quantifiable,0.108492843,-3.91306001490399e-10,Point estimate,Eligible_main_model,0.108492842608694
HBZZ_West_Cl,Cl,Achromobacter_xylosoxidans,6901970,0.022303197,0.003901495,0.010690571,6.10985e-4,0.189768139,0.029508532,0.011821339,0.002354722,1784,20,11.58923189,0.742721331,0.018401703,0.010079586,0.160259607,-0.009466617,-10.84651056,Cl,2777298.414,882109.677,0.49809996,HBZZ_West_Cl,Achromobacter xylosoxidans,Point estimate,0.498099959668534,0.498099959668534,0.498099959668534,92566,27088,Quantifiable,Quantifiable,0.49809996,-3.3146602129718867e-10,Point estimate,Eligible_main_model,0.498099959668534
HBZZ_Song_O3,O3,Achromobacter_xylosoxidans,6901970,0.008061611,0.012154066,9.59581e-4,0.003077817,0.037319635,0.089214239,0.007115433,0.008740735,65,317,1.168203303,3.778893035,-0.004092455,-0.002118236,-0.051894604,0.001625301,2.610689731,O3,3297386.364,5014948.44,-0.1820966,HBZZ_Song_O3,Achromobacter xylosoxidans,Point estimate,-0.182096634665403,-0.182096634665403,-0.182096634665403,29017,49586,Quantifiable,Quantifiable,-0.1820966,-3.4665402992573036e-8,Point estimate,Eligible_main_model,-0.182096634665403
HBZZ_East_O3,O3,Achromobacter_xylosoxidans,6901970,0.017236383,0.009226351,0.002800795,0.001236748,0.050176978,0.050891122,0.014247996,0.005618801,439,78,3.690160972,1.224874372,0.008010032,0.001564046,-7.14144e-4,-0.008629195,-2.4652866,O3,5389673.913,1530918.743,0.54661035,HBZZ_East_O3,Achromobacter xylosoxidans,Point estimate,0.546610350071632,0.546610350071632,0.546610350071632,49585,47601,Quantifiable,Quantifiable,0.54661035,7.163192261572249e-11,Point estimate,Eligible_main_model,0.546610350071632
HBZZ_East_Cl,Cl,Achromobacter_xylosoxidans,6901970,0.015625104,0.011346181,0.002854982,4.12201e-4,0.093339148,0.019463718,0.012031295,0.013282388,384,50,3.560698787,0.638479907,0.004278923,0.002442781,0.07387543,0.001251094,-2.92221888,Cl,4694994.45,779656.5622,0.779731745,HBZZ_East_Cl,Achromobacter xylosoxidans,Point estimate,0.779731744640804,0.779731744640804,0.779731744640804,53763,28310,Quantifiable,Quantifiable,0.779731745,-3.591960062721e-10,Point estimate,Eligible_main_model,0.779731744640804
