Model,Strategy,Sample_basis,Group,n,R2,RMSE,MAE,Bias
Full model (243),Strict no-imputation,Available data,Overall,157,0.5106908114512678,0.2676466257457039,0.2070171691812827,-0.04618623918509917
Full model (243),Strict no-imputation,Available data,UV,35,0.6600691336751011,0.22345631115372205,0.18786225298330372,-0.11061417038261297
Full model (243),Strict no-imputation,Available data,Cl,21,0.1189559269586016,0.24018813693130764,0.16346424989983774,-0.05550996348593985
Full model (243),Strict no-imputation,Available data,O3,42,0.217210031595417,0.2190809838498437,0.1773635749659155,-0.04023648551326285
Full model (243),Strict no-imputation,Available data,UV_Cl,36,0.6358167077559,0.3748723035109426,0.3097639136023367,0.007234442830727219
Full model (243),Strict no-imputation,Available data,O3_Cl,5,0.3844804357367342,0.31676150271671316,0.3008935074451194,0.03647413082650955
Full model (243),Strict no-imputation,Available data,UF,18,0.1939431739819865,0.19873403531914383,0.13269604909283303,-0.05371736444144806
Full model (243),Imputation-assisted,Available data,Overall,300,0.3390711998993662,0.3150692962178835,0.23184096166766785,-0.07996359290761332
Full model (243),Imputation-assisted,Available data,UV,77,0.4530710848512979,0.2163437249013154,0.18078564380300602,-0.07040860001678441
Full model (243),Imputation-assisted,Available data,Cl,43,0.1780433040687478,0.2823186263080178,0.19808457111432343,-0.0818038001000581
Full model (243),Imputation-assisted,Available data,O3,76,0.20597542147192266,0.2280582079522294,0.1945690591361644,-0.04774683196947261
Full model (243),Imputation-assisted,Available data,UV_Cl,54,0.38358675747107374,0.5147974598701996,0.3974132426146122,-0.15248926897217574
Full model (243),Imputation-assisted,Available data,O3_Cl,23,0.01477339383710695,0.3932289050487962,0.32344375187510593,-0.07712130062573347
Full model (243),Imputation-assisted,Available data,UF,27,0.16658620808779215,0.18551481687306431,0.12694027706992556,-0.05233639252295615
Reduced model (430),Reduced model (no Delta_Pi),Available data,Overall,300,0.33488259071831056,0.3072860637837235,0.22547586263136393,-0.011230486938075625
Reduced model (430),Reduced model (no Delta_Pi),Available data,UV,77,0.4761418157599955,0.21541281776399235,0.17770386119395593,-0.07031092462417457
Reduced model (430),Reduced model (no Delta_Pi),Available data,Cl,43,0.02597222652788275,0.33208442028263324,0.2059975758851264,0.01213742266795894
Reduced model (430),Reduced model (no Delta_Pi),Available data,O3,76,0.21876943826450218,0.24049210840432303,0.19855694474378707,0.05627977475054183
Reduced model (430),Reduced model (no Delta_Pi),Available data,UV_Cl,54,0.4645270761335642,0.4628093122728609,0.3759284785768705,-0.006369346965017624
Reduced model (430),Reduced model (no Delta_Pi),Available data,O3_Cl,23,0.027865155204583013,0.3926413640722831,0.30006996863827173,-0.10580649332475119
Reduced model (430),Reduced model (no Delta_Pi),Available data,UF,27,0.40159313032763505,0.1367016803403059,0.10405891822426178,8.56190424280358e-4
Full model (243),Strict no-imputation,Common complete-case subset,Overall,157,0.5106908114512678,0.2676466257457039,0.2070171691812827,-0.04618623918509917
Full model (243),Strict no-imputation,Common complete-case subset,UV,35,0.6600691336751011,0.22345631115372205,0.18786225298330372,-0.11061417038261297
Full model (243),Strict no-imputation,Common complete-case subset,Cl,21,0.1189559269586016,0.24018813693130764,0.16346424989983774,-0.05550996348593985
Full model (243),Strict no-imputation,Common complete-case subset,O3,42,0.217210031595417,0.2190809838498437,0.1773635749659155,-0.04023648551326285
Full model (243),Strict no-imputation,Common complete-case subset,UV_Cl,36,0.6358167077559,0.3748723035109426,0.3097639136023367,0.007234442830727219
Full model (243),Strict no-imputation,Common complete-case subset,O3_Cl,5,0.3844804357367342,0.31676150271671316,0.3008935074451194,0.03647413082650955
Full model (243),Strict no-imputation,Common complete-case subset,UF,18,0.1939431739819865,0.19873403531914383,0.13269604909283303,-0.05371736444144806
Full model (243),Imputation-assisted,Common complete-case subset,Overall,157,0.5106908114512678,0.2676466257457039,0.2070171691812827,-0.04618623918509917
Full model (243),Imputation-assisted,Common complete-case subset,UV,35,0.6600691336751011,0.22345631115372205,0.18786225298330372,-0.11061417038261297
