Model,Strategy,Sample_basis,Group,n,R2,RMSE,MAE,Bias
Full model (243),Strict no-imputation,Common complete-case subset,Overall,157,0.5106908114512678,0.2676466257457039,0.2070171691812827,-0.04618623918509917
Full model (243),Strict no-imputation,Common complete-case subset,UV,35,0.6600691336751011,0.22345631115372205,0.18786225298330372,-0.11061417038261297
Full model (243),Strict no-imputation,Common complete-case subset,Cl,21,0.1189559269586016,0.24018813693130764,0.16346424989983774,-0.05550996348593985
Full model (243),Strict no-imputation,Common complete-case subset,O3,42,0.217210031595417,0.2190809838498437,0.1773635749659155,-0.04023648551326285
Full model (243),Strict no-imputation,Common complete-case subset,UV_Cl,36,0.6358167077559,0.3748723035109426,0.3097639136023367,0.007234442830727219
Full model (243),Strict no-imputation,Common complete-case subset,O3_Cl,5,0.3844804357367342,0.31676150271671316,0.3008935074451194,0.03647413082650955
Full model (243),Strict no-imputation,Common complete-case subset,UF,18,0.1939431739819865,0.19873403531914383,0.13269604909283303,-0.05371736444144806
Full model (243),Imputation-assisted,Common complete-case subset,Overall,157,0.5106908114512678,0.2676466257457039,0.2070171691812827,-0.04618623918509917
Full model (243),Imputation-assisted,Common complete-case subset,UV,35,0.6600691336751011,0.22345631115372205,0.18786225298330372,-0.11061417038261297
Full model (243),Imputation-assisted,Common complete-case subset,Cl,21,0.1189559269586016,0.24018813693130764,0.16346424989983774,-0.05550996348593985
Full model (243),Imputation-assisted,Common complete-case subset,O3,42,0.217210031595417,0.2190809838498437,0.1773635749659155,-0.04023648551326285
Full model (243),Imputation-assisted,Common complete-case subset,UV_Cl,36,0.6358167077559,0.3748723035109426,0.3097639136023367,0.007234442830727219
Full model (243),Imputation-assisted,Common complete-case subset,O3_Cl,5,0.3844804357367342,0.31676150271671316,0.3008935074451194,0.03647413082650955
Full model (243),Imputation-assisted,Common complete-case subset,UF,18,0.1939431739819865,0.19873403531914383,0.13269604909283303,-0.05371736444144806
Reduced model (430),Reduced model (no Delta_Pi),Common complete-case subset,Overall,157,0.42202394952912853,0.2912933174618313,0.21426211626568945,0.010985154388558713
Reduced model (430),Reduced model (no Delta_Pi),Common complete-case subset,UV,35,0.6663617417563864,0.22448718627757383,0.1842366193559786,-0.1083172677607828
Reduced model (430),Reduced model (no Delta_Pi),Common complete-case subset,Cl,21,0.0013416501073956319,0.33975886814924294,0.17802898402020312,0.019251312913510805
Reduced model (430),Reduced model (no Delta_Pi),Common complete-case subset,O3,42,0.2784477733629885,0.2317003336683996,0.20008827596469328,0.03418832629193643
Reduced model (430),Reduced model (no Delta_Pi),Common complete-case subset,UV_Cl,36,0.5431003219357204,0.4162496012993189,0.3400373112891562,0.11448133386994387
Reduced model (430),Reduced model (no Delta_Pi),Common complete-case subset,O3_Cl,5,0.06274941081237874,0.26232471887767017,0.2154483626725898,-0.0824626194662685
Reduced model (430),Reduced model (no Delta_Pi),Common complete-case subset,UF,18,0.5628231896513364,0.12854514667873587,0.09610940564111309,-0.0018571437111433414
