Feature,Gain,Cover,Frequency,Model,Gain_pct
Delta_Breadth,0.561535404127784,0.3145181394738569,0.2485414235705951,Full model (243),56.15354041277841
Delta_SNV_Density,0.12894448883826298,0.25411008331693236,0.24387397899649943,Full model (243),12.894448883826302
Delta_Pi,0.11187323528859566,0.19199632618251,0.21820303383897316,Full model (243),11.187323528859567
breadth_inf,0.06351414630557431,0.10749852391261562,0.1691948658109685,Full model (243),6.351414630557432
Disinfection_Type.UF,0.054253720674992026,0.029902250213212623,0.025670945157526253,Full model (243),5.425372067499203
Disinfection_Type.UV_Cl,0.0372312376333251,0.04224890113494719,0.0338389731621937,Full model (243),3.7231237633325107
Disinfection_Type.O3_Cl,0.02071976203949135,0.02157055697697304,0.014002333722287048,Full model (243),2.071976203949135
Disinfection_Type.O3,0.014966124600112042,0.022593977563471757,0.025670945157526253,Full model (243),1.4966124600112045
Disinfection_Type.Cl,0.006961880491862515,0.015561241225480549,0.021003500583430573,Full model (243),0.6961880491862517
Delta_Breadth,0.5048460446889503,0.3944473893453485,0.32585470085470086,Reduced model (430),50.48460446889504
Delta_SNV_Density,0.19283197566110824,0.2890567482404217,0.27350427350427353,Reduced model (430),19.283197566110825
breadth_inf,0.15179159995750505,0.18789940218511647,0.2532051282051282,Reduced model (430),15.179159995750508
Disinfection_Type.UF,0.06527648604048007,0.04151574049533233,0.03205128205128205,Reduced model (430),6.527648604048009
Disinfection_Type.UV_Cl,0.031519411348276176,0.02601083723532703,0.03739316239316239,Reduced model (430),3.1519411348276183
Disinfection_Type.O3,0.019933624461464083,0.019097682362988484,0.03311965811965812,Reduced model (430),1.9933624461464086
Disinfection_Type.O3_Cl,0.017565007055777022,0.02463409606266749,0.019230769230769232,Reduced model (430),1.7565007055777027
Disinfection_Type.Cl,0.016235850786438997,0.01733810407279795,0.02564102564102564,Reduced model (430),1.6235850786439001
