Model,Strategy,Sample_basis,Group,n,R2,RMSE,MAE,Bias
Full model (243),Imputation-assisted: Complete,Available data,Overall,157,0.5106908114512678,0.2676466257457039,0.2070171691812827,-0.04618623918509917
Full model (243),Imputation-assisted: Complete,Available data,UV,35,0.6600691336751011,0.22345631115372205,0.18786225298330372,-0.11061417038261297
Full model (243),Imputation-assisted: Complete,Available data,Cl,21,0.1189559269586016,0.24018813693130764,0.16346424989983774,-0.05550996348593985
Full model (243),Imputation-assisted: Complete,Available data,O3,42,0.217210031595417,0.2190809838498437,0.1773635749659155,-0.04023648551326285
Full model (243),Imputation-assisted: Complete,Available data,UV_Cl,36,0.6358167077559,0.3748723035109426,0.3097639136023367,0.007234442830727219
Full model (243),Imputation-assisted: Complete,Available data,O3_Cl,5,0.3844804357367342,0.31676150271671316,0.3008935074451194,0.03647413082650955
Full model (243),Imputation-assisted: Complete,Available data,UF,18,0.1939431739819865,0.19873403531914383,0.13269604909283303,-0.05371736444144806
Full model (243),Imputation-assisted: Imputed,Available data,Overall,143,0.15663408537653384,0.36001114950585283,0.25909505551635637,-0.11704782042114283
Full model (243),Imputation-assisted: Imputed,Available data,UV,42,0.11860341824494318,0.21023283337520138,0.17488846948609124,-0.03690395804526057
Full model (243),Imputation-assisted: Imputed,Available data,Cl,22,0.18364011592656448,0.31735888253507133,0.23113124136451432,-0.1069024623226255
Full model (243),Imputation-assisted: Imputed,Available data,O3,34,0.21261771822037054,0.238682009594553,0.21582289252294243,-0.05702431876831993
Full model (243),Imputation-assisted: Imputed,Available data,UV_Cl,18,0.2494340751203246,0.7169315073193735,0.5727119006391633,-0.4719366925779817
Full model (243),Imputation-assisted: Imputed,Available data,O3_Cl,18,0.03736046495171759,0.4119585404300331,0.3297077086612133,-0.10867558714024544
Full model (243),Imputation-assisted: Imputed,Available data,UF,9,0.08536751706000938,0.15574597346281008,0.11542873302411055,-0.049574448685972355
